2025-10-27 00:32:02 | unimol_tools\weights\weighthub.py | 54 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights
2025-10-27 00:33:58 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:33:58 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:33:58 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:33:58 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:39:11 | unimol_tools\weights\weighthub.py | 54 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights
2025-10-27 00:39:11 | unimol_tools\weights\weighthub.py | 71 | INFO | Uni-Mol Tools | Downloading mol_pre_no_h_220816.pt
2025-10-27 00:39:25 | unimol_tools\models\unimol.py | 167 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights\mol_pre_no_h_220816.pt
2025-10-27 00:39:38 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:39:38 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:39:38 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:39:38 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:39:38 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:40:28 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:40:28 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:40:28 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:40:28 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:40:28 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:40:30 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:40:30 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:40:30 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:40:30 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:40:30 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:49:11 | unimol_tools\models\unimol.py | 167 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights\mol_pre_all_h_220816.pt
2025-10-27 00:49:13 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:49:13 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:49:13 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:49:13 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:49:13 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:51:10 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:51:10 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:51:10 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:51:10 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:51:10 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:52:13 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:52:13 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:52:13 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:52:13 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:52:13 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:52:20 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:52:20 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:52:20 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:52:20 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:52:20 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 01:07:00 | unimol_tools\weights\weighthub.py | 54 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights
2025-10-27 01:07:00 | unimol_tools\weights\weighthub.py | 95 | INFO | Uni-Mol Tools | Downloading modelzoo/84M/checkpoint.pt
2025-10-27 01:07:24 | unimol_tools\models\unimolv2.py | 176 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights\modelzoo/84M/checkpoint.pt
2025-10-27 01:07:26 | unimol_tools\data\conformer.py | 452 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 01:07:28 | unimol_tools\data\conformer.py | 467 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 01:07:28 | unimol_tools\data\conformer.py | 484 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 01:07:28 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 01:07:28 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 01:17:16 | unimol_tools\models\unimol.py | 167 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights\mol_pre_all_h_220816.pt
2025-10-27 01:17:18 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 01:17:18 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 01:17:18 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 01:17:18 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 01:17:18 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 19:48:11 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 19:48:11 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 19:48:11 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 19:48:11 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 19:48:11 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 20:06:21 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 22:11:55 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
